timestamp,slug,action,score_final,reason
2026-02-19 15:09:44,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 15:14:37,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 15:14:37,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 16:02:58,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 16:02:58,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:25:56,mrr-to-arr-converter,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:25:56,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:25:56,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:29:18,mrr-to-arr-converter,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:29:18,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 17:29:18,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,churn-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,customer-retention-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,arr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,mrr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,mrr-to-arr-converter,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:05:46,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,churn-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,customer-retention-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,arr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,mrr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,mrr-to-arr-converter,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 18:20:25,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,marketing-roi-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,customer-acquisition-cost-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,churn-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,customer-retention-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,arr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,mrr-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,mrr-to-arr-converter,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,ltv-calculator,improve,50.0,"score 50.0 in [50,70)"
2026-02-19 19:30:07,conversion-rate-calculator,improve,50.0,"score 50.0 in [50,70)"
